District ID,id,Pop20,DHouseholds,DTotal_Income,DArea,DSumAge,DTotal_Rent,DTotalCom,D20Minus,D20to40,D40to65,D65Plus,D0_25k,D25k_50k,D50k_100k,D100k_200k,D200kPlus,DGINI,DOc,DOcOth,DOc1Det,DOc1Att,DOc2_10,DOc10_50,DOc50_Plus,DWhite,DBlack,DNative,DAsian,DPacific,DOther,DMultiracial,DLatino,DVAP,DWhiteVAP,DBlackVAP,DNativeVAP,DAsianVAP,DPacificVAP,DOtherVAP,DMultiracialVAP,DLatinoVAP,DPop10,D10White,D10Black,D10Native,D10Asian,D10Pacific,D10Other,D10Multiracial,D10Latino,D10PCI,D00PCI,DPop00,D00White,D00Black,D00Native,D00Asian,D00Pacific,D00Other,D00Multiracial,D00Latino,DPop90,D90White,D90Black,D90Native,D90Asian,D90Other,D90Latino,D5_or_older,DEnglishOnly,DLimitedEnglish,DSpanish,DIndoEuropean,DAsianPacific,DOtherLanguage,D25_or_older,DHighschool,DBachelors,DGraduate,DNonInstit,DInsured,DUninsured,DMale,DFemale,DVeteran,DWorker_16_up,DCCar,DCTransit,DCWalk,DCBike,DCOther,DIAgri,DIConst,DIMfg,DIWholesale,DIRetail,DITrans,DIInfo,DIProf,DIEdu,DIArts,DIOther,DIPa,DIArmy,DinState,DoutState,DinCounty,DoutCounty,D16_up,DInLF,DUnemployed,DPopPov,DPoverty,DOHousing,DOwner,DRenter,DA_All,DA_Oth,DA_SouthAsia,DA_China,DA_SEasia,DA_Viet,DA_Filipino,DA_Japan,DA_Korea,DE_All,DE_Oth,DE_Germ,DE_USA,DE_Ire,DE_Brit,DE_Italy,DE_Scand,DE_Dutch,DE_Fr,DE_EastEuro,DE_Portug,DE_Czech,DE_Brazil,DE_Arab,DE_Polish,DE_Iran,DE_Balkan,DE_Hungary,DE_Greek,DF_All,DF_African,DF_Carib,DF_AA,DL_All,DL_Oth,DL_Mex,DL_PR,DL_Cuba,DL_Domin,DL_CA,DL_SA,DL_Spain,DUSBorn,DInStateB,DOutStateB,DForeignBorn,DForeignC,DForeignNC,DStSpouse,DGaySpouse,DStPartner,DGayPartner,DCapitaIncome,G22GovD,G22GovR,G22SosD,G22SosR,G22AgD,G22AgR,G22SenO,G22SenR,G22SenD,G22TreD,G22TreR,G22CorD,G22CorR,G20SenR,G20SenD,G20PreR,G20PreD,G20PreO,G20Ref207N,G20Ref207Y,G20Ref208N,G20Ref208Y,G18SosO,G18AgO,G18TreO,G18SpiO,G18MinO,G18MinD,G18MinR,G18SenR,G18SenD,G18GovR,G18GovD,G18SosR,G18SosD,G18AgR,G18AgD,G18TreR,G18TreD,G18SpiR,G18SpiD,G18SenO,G18GovO,G16PreR,G16PreD,G16SenR,G16SenD,G16PreO,G16SenO,G12SenR,G12SenD,G12PreD,G12PreR,G10TreD,G10TreR,G10TreO,G10SenD,G10SenR,G10SenO,G10AgD,G10AgO,G10AgR,G10SosD,G10SosR,G10SosO,G10SpiD,G10SpiR,G10SpiO,G10GovD,G10GovR,G10GovO,G08PreD,G08PreR,G08PreO,G24GuessD,G24GuessR,G28GuessD,G28GuessR,name
11,Tucson Middle Class,11,374426,159481,11551224168,495707,14737293,167547855,3983249,83120,119263,105799,66239,33321,39649,49908,30368,6088,151409,176228,7030,98564,14981,19730,20726,14805,249341,19833,6175,13970,1138,30291,53678,100140,306068,212399,15103,4855,11929,810,23500,37472,72044,352091,278328,16389,4925,11773,808,24432,14647,81410,10522600622,10282190461,328603,268873,12398,3558,9006,351,21659,10293,56705,281006,247908,9076,2064,6237,13717,35444,354598,287171,16832,48027,6202,7911,4875,253354,234387,88527,36044,360915,332719,27903,186038,188387,29773,176375,161725,2972,5336,3285,2269,1250,9026,10820,2629,21228,7565,13044,22491,46198,18856,8396,9666,4035,175042,1131,172199,3969,312749,192364,19454,355238,51566,159481,86984,72470,20764,695,2774,5182,718,2171,4187,1900,1800,80084,6946,16006,9271,10404,14141,5517,4175,1143,1702,2380,60,292,128,1420,2187,362,540,243,386,97656,3123,216,94078,105231,6249,87334,4287,550,245,1796,2015,1716,338879,149457,182499,35548,19460,16052,58673,606,13079,742,11774989373,87722,51620,88317,49804,85991,51692,3015,47258,90247,78540,58743,154423,97917,72265,113060,72407,111346,3365,57534,118920,65106,110125,52,104,56,79,66,78412,56179,55233,81719,63402,72405,53340,83478,54411,81884,59288,76078,52083,83580,3587,3812,59728,80872,66924,73643,11993,8504,55273,77355,75257,63064,55809,47449,7946,48977,57856,7555,61463,0,51249,57016,53919,0,59010,52703,0,58724,53742,3574,80436,68671,2112,112659,71094,113954,69799,Tucson Middle Class
12,Tucson Prosperity,12,231592,100971,12066841554,2850412,10940798,129195281,2599922,44314,41697,73228,72314,10639,15305,29987,30602,14351,94583,114253,7827,84794,5771,6509,5187,4045,179412,4235,1967,9145,313,9614,26906,38996,193047,154730,3288,1508,7325,206,7461,18529,27342,204955,180221,3205,1482,6687,162,7329,5041,28448,10033107599,8505949429,163639,148505,1790,994,3250,126,4577,2854,15735,96847,90649,762,470,1244,2753,7369,222458,191113,6591,19394,6221,3891,1420,176761,170593,94460,45408,229464,221029,8360,113373,118212,23967,96103,92946,271,610,267,1569,775,3636,8822,1846,9570,4222,9261,12814,26426,6706,4343,5752,906,94754,1192,91674,4258,195942,102515,8794,229953,13079,100971,80965,20030,13224,332,3310,3074,221,591,2155,972,1890,68107,4804,13119,7683,7279,13311,4677,4407,555,1873,2641,326,545,94,654,2378,153,371,838,562,42568,467,825,41166,42130,2258,33374,2251,299,71,984,1605,761,209731,68943,137092,21860,14517,7256,57863,623,5123,252,12093345554,72563,59428,74119,56727,70666,59689,1947,55982,74568,62617,67406,127916,117325,73079,79961,71871,79982,1890,61493,85622,66746,79669,45,90,26,77,29,56742,61590,61152,60811,68520,52925,59245,61452,60022,60303,64230,55250,57726,61709,1658,1625,60443,59223,66691,53255,8035,5228,58984,54051,50961,65664,40629,51598,4622,35754,59182,4915,45157,0,53199,40249,56443,0,42280,55409,0,43129,55942,1936,53182,63609,1130,82007,69846,84055,67798,Tucson Prosperity
13,Southern Outposts,13,321569,120429,10441606306,12615418,13378670,130608529,3581111,80226,73500,91571,76207,16158,23520,41809,32570,5808,120196,139971,16081,103782,8621,4824,3672,1934,212709,18524,6594,7166,1107,29493,45976,85435,249712,174486,13319,4599,5964,790,21123,29431,55797,275520,212885,14166,6409,6044,552,22850,11220,67159,8679516258,4640566990,151878,116144,7312,2837,1889,213,15780,4182,32772,108804,89136,6120,1634,1892,7743,19077,303086,246323,14094,45551,4151,4483,1513,225302,207276,68549,27213,311039,289859,20898,162296,159269,37786,125431,120879,275,1373,235,1761,1895,6109,9476,1505,13662,6264,9179,14614,26942,9771,4979,12991,4694,124066,978,98249,27051,254904,135531,13767,312516,28621,120429,95119,25232,12236,713,750,1154,505,698,4132,1300,2067,77819,6774,16710,9012,10045,15090,4643,4055,707,1453,777,93,362,48,222,2309,319,486,364,106,95560,757,421,94209,92935,2261,81511,2776,587,195,2031,1028,1081,293402,108264,178004,28167,16000,11849,67417,370,7317,179,10708228902,59406,73436,60959,70680,57753,73441,3428,68473,61722,50889,80062,100859,136936,89189,71128,90219,68732,2793,67337,88499,80579,74567,19,42,12,27,18,45136,64790,63555,47294,72561,38061,63441,48338,64953,46304,67469,43099,62307,48596,2937,2746,67038,44826,67418,43113,9063,8042,56104,43179,40817,63189,30107,44454,5190,26330,49977,5383,33093,0,47347,30022,49777,0,31592,48391,0,29679,50682,2325,40957,59315,1150,69831,89120,71141,87810,Southern Outposts
14,,14
15,,15
16,,16
17,,17
18,,18
19,,19
20,,20
